x,y,elevation,slope,aspect,plan_curvature,layer_0.50m,layer_0.75m,layer_1.00m,layer_1.25m,layer_1.50m,layer_2.00m,layer_2.50m,layer_3.00m,layer_3.50m,layer_4.00m,layer_4.50m,layer_5.00m
358851.96662848233,4308712.856811998,3212.3315,0.0,-0.0,0.0,,,,,,,,,,,,
358859.99360551685,4308712.713496893,3212.8057,0.0,-0.0,0.0,,,,,,,,,,,,
358868.02058247407,4308712.570189943,3213.1626,0.0,-0.0,0.0,,,,,,,,,,,,
358876.04755935154,4308712.426891148,3213.3525,0.0,-0.0,0.0,,,,,,,,,,,,
358884.07453615067,4308712.28360051,3213.393,0.0,-0.0,0.0,,,,,,,,,,,,
358892.10151287244,4308712.140318027,3213.3538,0.0,-0.0,0.0,,,,,,,,,,,,
358900.12848951574,4308711.9970437,3213.2007,0.0,-0.0,0.0,,,,,,,,,,,,
358908.1554660795,4308711.853777528,3212.9888,0.0,-0.0,0.0,,,,,,,,,,,,
358916.1824425648,4308711.710519513,3212.8313,0.0,-0.0,0.0,,,,,,,,,,,,
358924.20941897173,4308711.567269653,3212.901,0.0,-0.0,0.0,,,,,,,,,,,,
358932.23639530124,4308711.42402795,3213.2617,0.0,-0.0,0.0,,,,,,,,,,,,
358940.26337155234,4308711.280794401,3213.8618,0.0,-0.0,0.0,,,,,,,,,,,,
358948.290347724,4308711.137569008,3214.5186,0.0,-0.0,0.0,,,,,,,,,,,,
358956.3173238172,4308710.994351772,3215.2788,0.0,-0.0,0.0,,,,,,,,,,,,
358964.34429983306,4308710.851142691,3216.2139,0.0,-0.0,0.0,,,,,,,,,,,,
358972.3712757694,4308710.707941767,3216.7087,0.0,-0.0,0.0,,,,,,,,,,,,
358980.39825162734,4308710.564748997,3216.9255,0.0,-0.0,0.0,,,,,,,,,,,,
358988.4252274069,4308710.421564383,3216.7393,0.0,-0.0,0.0,,,,,,,,,,,,
358996.4522031103,4308710.278387925,3215.9377,0.0,-0.0,0.0,,,,,,,,,,,,
359004.4791787331,4308710.135219624,3214.6748,0.0,-0.0,0.0,,,,,,,,,,,,
359012.5061542774,4308709.992059479,3212.829,0.0,-0.0,0.0,,,,,,,,,,,,
359020.5331297434,4308709.848907488,3211.4453,0.0,-0.0,0.0,,,,,,,,,,,,
359028.5601051322,4308709.705763653,3210.117,0.0,-0.0,0.0,,,,,,,,,,,,
359036.5870804414,4308709.562627974,3208.1604,0.0,-0.0,0.0,,,,,,,,,,,,
359044.61405567336,4308709.419500452,3206.1353,0.0,-0.0,0.0,,,,,,,,,,,,
